,FROM STATION ID,FROM STATION NAME,FROM LONGITUDE,FROM LATITUDE
2053,348,California Ave & 21st St,-87.69544499999999,41.854015999999994
2055,459,Lakefront Trail & Bryn Mawr Ave,-87.652310469,41.984036696
2063,6,Dusable Harbor,-87.61279453899999,41.885041992
2069,197,Michigan Ave & Madison St,-87.625125,41.882134
2070,113,Bissell St & Armitage Ave,-87.65222,41.918440000000004
2075,442,California Ave & 23rd Pl,-87.695139807,41.849109692
2080,90,Millennium Park,-87.62408432,41.8810317
2186,97,Museum Campus,-87.61775899999999,41.865212
2235,445,California Ave & 26th St,-87.69529592299999,41.844040031
2261,244,Ravenswood Ave & Irving Park Rd,-87.67393,41.95469
2274,250,Ashland Ave & Wellington Ave,-87.66980699999999,41.936083
2342,239,Western Ave & Leland Ave,-87.688487,41.966555
2345,416,Dorchester Ave & 49th St,-87.592464,41.805772
2370,472,Lincoln Ave & Winona St,-87.69250255899999,41.974911297
2374,179,MLK Jr Dr & Oakwood Blvd,-87.61615,41.822559999999996
2376,436,Fairfield Ave & Roosevelt Rd,-87.694521,41.866624
2423,410,Prairie Ave & 43rd St,-87.61941246200001,41.816658893
2444,495,Keystone Ave & Montrose Ave,-87.728970101,41.961108016
2486,257,Lincoln Ave & Waveland Ave,-87.675112,41.94911
2531,505,Winchester Ave & Elston Ave,-87.676460075,41.92409085
2576,388,Halsted St & 63rd St,-87.64462081399999,41.779381142
2613,424,Museum of Science and Industry,-87.58394500899999,41.79172821
2618,381,Western Ave & Monroe St,-87.68611280799999,41.879787709
2653,509,Troy St & North Ave,-87.70528048700001,41.909769302
2656,399,South Shore Dr & 74th St,-87.55927465,41.76218896
2681,4,Burnham Harbor,-87.613348,41.856268
2712,454,Broadway & Granville Ave,-87.660284535,41.994779688
2737,432,Clark St & Lunt Ave,-87.67371139299999,42.009069134
2760,249,Montrose Harbor,-87.638181,41.963982
2784,294,Broadway & Berwyn Ave,-87.65975300000001,41.978353000000006
2811,489,Drake Ave & Addison St,-87.716421522,41.946781849000004
2831,136,Racine Ave & 13th St,-87.656959,41.865054
2837,297,Paulina St & Montrose Ave,-87.671387,41.961507
2857,491,Talman Ave & Addison St,-87.69461475799999,41.946635831
2886,474,Christiana Ave & Lawrence Ave,-87.71183066799999,41.968354494
2918,184,State St & 35th St,-87.62688,41.83104
3023,203,Western Ave & 21st St,-87.685243,41.85394
3303,421,MLK Jr Dr & 56th St (*),-87.615853262,41.793429456999995
3334,315,Elston Ave & Wabansia Ave,-87.664169,41.912919
3737,453,Clark St & Schreiber Ave,-87.671377339,41.999251822
3778,162,Damen Ave & Wellington Ave,-87.67841999999999,41.93588
3794,310,Damen Ave & Charleston St,-87.67785500000001,41.920082
3840,263,Rhodes Ave & 32nd St,-87.61353299999999,41.836208
3889,438,Central Park Ave & Ogden Ave,-87.715405838,41.854204313000004
3911,447,Glenwood Ave & Morse Ave,-87.665502394,42.007971923
3952,469,St. Louis Ave & Balmoral Ave,-87.716114962,41.980394235
3984,451,Sheridan Rd & Loyola Ave,-87.66119824299999,42.00104378
4126,253,Clifton Ave & Lawrence Ave,-87.658857,41.968872999999995
4351,437,Washtenaw Ave & 15th St (*),-87.693374,41.86148
4380,185,Stave St & Armitage Ave,-87.69139200000001,41.917741
4507,103,Clinton St & Polk St (*),-87.64094913299999,41.871466518000005
4593,124,Damen Ave & Cullerton St,-87.675726,41.855048
4635,42,Wabash Ave & Cermak Rd,-87.626488,41.852619
4742,499,Kosciuszko Park,-87.723777364,41.930585371
4783,487,California Ave & Byron St,-87.69805111299999,41.952162193
4790,477,Manor Ave & Leland Ave,-87.701082677,41.966317529
4862,207,Emerald Ave & 28th St,-87.645368,41.843579999999996
5233,497,Kimball Ave & Belmont Ave,-87.711561,41.939398
5266,490,Troy St & Elston Ave,-87.706649901,41.945243568
5466,95,Stony Island Ave & 64th St,-87.58678761799999,41.778700571
5886,237,MLK Jr Dr & 29th St,-87.617,41.842052
6097,354,Sheridan Rd & Greenleaf Ave,-87.662412095,42.010586563000004
6109,484,Monticello Ave & Irving Park Rd,-87.71912818,41.954004839
6217,215,Damen Ave & Madison St,-87.67493,41.881370000000004
6771,267,Lake Park Ave & 47th St,-87.591875,41.809443
6957,415,Calumet Ave & 51st St,-87.61805358,41.802294651
7360,427,Cottage Grove Ave & 63rd St,-87.60611238799999,41.780599015
7528,373,Kedzie Ave & Chicago Ave,-87.706127884,41.895465303
7712,367,Racine Ave & 35th St,-87.655975912,41.830696113
8345,368,Ashland Ave & Archer Ave,-87.665609859,41.839208684
8539,412,Princeton Ave & 47th St,-87.633449288,41.809317709
8643,271,Cottage Grove Ave & 43rd St,-87.60658199999999,41.816499
8958,435,Kedzie Ave & Roosevelt Rd,-87.706496176,41.866492781999995
9055,216,California Ave & Division St,-87.697474,41.903029
9413,480,Kedzie Ave & Montrose Ave,-87.708168376,41.961989761
9977,150,Fort Dearborn Dr & 31st St,-87.60821800000001,41.838556
10187,503,Drake Ave & Fullerton Ave,-87.715441036,41.924398819000004
10257,506,Spaulding Ave & Armitage Ave,-87.710356652,41.917183752
10307,481,California Ave & Montrose Ave,-87.69543900000001,41.961068
